carrier,flight_number,departure_airport,arrival_airport,scheduled_departure,actual_departure
WUT,WC459,JVL,JVL,2016-06-08 11:00:00,2016-06-08 12:28:00
WUT,BF248,JVL,JVL,2016-06-08 15:18:00,2016-06-08 15:18:00
POP,ZL683,JVL,JVL,2016-09-12 07:31:00,2016-09-12 07:49:00
POP,KL137,JVL,CHS,2016-09-01 14:01:00,2016-09-01 14:01:00
WUT,WJ547,JVL,CHS,2016-06-05 20:05:00,2016-06-05 21:29:00
VAV,IO126,CHS,JVL,2016-08-21 18:13:00,2016-08-21 19:52:00
WUT,KA984,CHS,CHS,2016-07-10 11:40:00,2016-07-10 11:40:00
WUT,YV672,WRE,CHS,2016-05-20 22:25:00,2016-05-20 22:25:00
DEF,MT260,JVL,JVL,2016-09-18 19:04:00,2016-09-18 19:04:00
WUT,YU034,CHS,FYV,2016-07-08 13:22:00,2016-07-08 13:22:00
POP,RH792,JVL,JVL,2016-05-15 12:45:00,2016-05-15 12:45:00
POP,RM716,CHS,CHS,2016-08-23 00:58:00,2016-08-23 00:58:00
POP,VL027,CHS,CHS,2016-09-02 18:05:00,2016-09-02 18:05:00
WUT,OM951,GCC,JVL,2016-08-09 12:28:00,2016-08-09 12:28:00
ABC,PQ269,CHS,JVL,2016-09-23 16:58:00,2016-09-23 16:58:00
WUT,EG458,JVL,WRE,2016-05-14 10:36:00,2016-05-14 10:36:00
WUT,NP421,JVL,JVL,2016-06-02 06:00:00,2016-06-02 06:00:00
VAV,OU343,AVL,JVL,2016-06-11 13:15:00,2016-06-11 14:34:00
WUT,DP201,JVL,CHS,2016-09-24 18:16:00,2016-09-24 18:16:00
WUT,KV301,WRE,CHS,2016-08-22 20:28:00,2016-08-22 21:10:00
POP,IH748,JVL,AVL,2016-08-19 02:44:00,2016-08-19 04:26:00
POP,UO735,JVL,JVL,2016-08-10 11:01:00,2016-08-10 11:01:00
POP,IU684,WRE,JVL,2016-08-17 13:05:00,2016-08-17 13:05:00
WUT,KS215,WRE,WRE,2016-05-09 06:09:00,2016-05-09 06:09:00
WUT,AH073,JVL,JVL,2016-07-06 12:18:00,2016-07-06 12:18:00
DEF,YC063,AVL,JVL,2016-05-17 09:22:00,2016-05-17 09:22:00
WUT,FU723,AVL,CHS,2016-08-27 06:04:00,2016-08-27 06:04:00
VAV,ZS195,CHS,CHS,2016-06-26 12:16:00,2016-06-26 12:16:00
POP,BN448,AVL,JVL,2016-06-28 05:45:00,2016-06-28 05:45:00
DEF,FE068,JVL,CHS,2016-09-17 15:51:00,2016-09-17 15:51:00
WUT,EY189,JVL,JVL,2016-07-24 23:44:00,2016-07-24 23:44:00
POP,OW343,AVL,AVL,2016-09-27 04:29:00,2016-09-27 04:29:00
POP,UI114,GCC,CHS,2016-05-09 01:16:00,2016-05-09 01:16:00
WUT,VH813,CHS,AVL,2016-05-05 02:12:00,2016-05-05 02:12:00
VAV,OF128,CHS,CHS,2016-06-26 18:56:00,2016-06-26 20:03:00
POP,LM052,JVL,CHS,2016-05-12 10:05:00,2016-05-12 10:05:00
POP,NR689,AVL,JVL,2016-09-19 10:06:00,2016-09-19 10:06:00
VAV,SY260,CHS,CHS,2016-09-21 15:24:00,2016-09-21 15:24:00
DEF,SQ118,WYS,JVL,2016-05-29 03:05:00,2016-05-29 04:46:00
VAV,FE380,JVL,CHS,2016-09-28 12:00:00,2016-09-28 12:00:00
WUT,IR363,AVL,JVL,2016-07-20 12:22:00,2016-07-20 12:43:00
WUT,SI526,JVL,AVL,2016-05-23 00:19:00,2016-05-23 00:19:00
WUT,WV693,CHS,JVL,2016-08-14 06:40:00,2016-08-14 06:40:00
VAV,VF527,WRE,JVL,2016-06-24 04:02:00,2016-06-24 04:02:00
POP,TC269,JVL,CHS,2016-06-25 08:05:00,2016-06-25 09:21:00
WUT,IV035,CHS,AVL,2016-08-28 19:00:00,2016-08-28 19:48:00
DEF,YE821,WRE,JVL,2016-09-11 00:03:00,2016-09-11 00:36:00
WUT,SD310,AVL,JVL,2016-08-31 12:17:00,2016-08-31 12:17:00
WUT,DL400,AVL,JVL,2016-08-11 01:02:00,2016-08-11 01:02:00
WUT,SL374,JVL,CHS,2016-09-07 03:43:00,2016-09-07 05:17:00
VAV,QZ708,AVL,WRE,2016-06-15 21:20:00,2016-06-15 23:10:00
ABC,RC333,AVL,CHS,2016-07-30 09:38:00,2016-07-30 09:38:00
WUT,GE101,JVL,CHS,2016-05-27 01:10:00,2016-05-27 03:05:00
POP,GA540,WRE,JVL,2016-05-09 17:41:00,2016-05-09 17:41:00
WUT,YP827,JVL,JVL,2016-07-06 01:54:00,2016-07-06 03:07:00
WUT,YR197,WRE,JVL,2016-07-15 05:07:00,2016-07-15 05:07:00
WUT,HD355,WRE,WYS,2016-09-17 15:57:00,2016-09-17 15:57:00
VAV,YQ223,CHS,CHS,2016-05-15 05:15:00,2016-05-15 05:15:00
POP,EF146,JVL,CHS,2016-07-11 00:07:00,2016-07-11 00:07:00
ABC,QX918,JVL,CHS,2016-06-11 11:55:00,2016-06-11 11:55:00
POP,RN118,CHS,JVL,2016-05-03 06:04:00,2016-05-03 06:22:00
VAV,QH644,JVL,JVL,2016-08-06 03:40:00,2016-08-06 03:40:00
WUT,NY010,JVL,JVL,2016-08-05 11:57:00,2016-08-05 13:00:00
POP,SE078,CHS,CHS,2016-09-05 01:17:00,2016-09-05 01:48:00
VAV,NB311,JVL,CHS,2016-09-26 06:16:00,2016-09-26 06:16:00
POP,NO623,JVL,JVL,2016-07-30 14:19:00,2016-07-30 14:19:00
WUT,NW609,JVL,JVL,2016-08-27 20:03:00,2016-08-27 20:03:00
WUT,LM141,CHS,JVL,2016-05-20 16:47:00,2016-05-20 16:50:00
WUT,YK963,JVL,CHS,2016-05-17 16:31:00,2016-05-17 17:37:00
POP,IC801,AVL,CHS,2016-06-22 05:41:00,2016-06-22 05:41:00
WUT,WI741,AVL,CHS,2016-09-22 08:04:00,2016-09-22 08:04:00
POP,MR945,JVL,CHS,2016-08-20 04:43:00,2016-08-20 06:35:00
POP,IU154,JVL,AVL,2016-08-18 21:28:00,2016-08-18 21:28:00
WUT,CQ530,AVL,AVL,2016-08-04 02:30:00,2016-08-04 03:50:00
WUT,NY473,DFW,JVL,2016-09-04 20:53:00,2016-09-04 20:53:00
POP,SO969,AVL,JVL,2016-06-22 11:15:00,2016-06-22 11:15:00
WUT,BV004,JVL,JVL,2016-05-06 18:21:00,2016-05-06 18:57:00
WUT,FY752,AVL,JVL,2016-05-23 16:48:00,2016-05-23 16:48:00
WUT,MA343,AVL,WRE,2016-06-30 19:46:00,2016-06-30 21:43:00
WUT,JL363,CHS,JVL,2016-05-17 02:00:00,2016-05-17 02:19:00
WUT,RI594,JVL,JVL,2016-09-19 11:13:00,2016-09-19 11:13:00
WUT,NW388,CHS,JVL,2016-06-25 01:21:00,2016-06-25 01:55:00
WUT,LG667,JVL,CHS,2016-06-14 20:10:00,2016-06-14 20:44:00
POP,KL690,AVL,CHS,2016-08-27 13:12:00,2016-08-27 15:03:00
WUT,MW933,AVL,CHS,2016-09-18 17:24:00,2016-09-18 17:24:00
WUT,CY620,JVL,JVL,2016-09-22 21:19:00,2016-09-22 22:51:00
POP,IR950,JVL,WRE,2016-09-04 09:45:00,2016-09-04 09:45:00
WUT,AK135,JVL,WRE,2016-05-07 07:49:00,2016-05-07 09:37:00
DEF,PN935,JVL,JVL,2016-05-25 11:17:00,2016-05-25 12:33:00
WUT,EH525,JVL,CHS,2016-05-18 15:42:00,2016-05-18 16:07:00
POP,FT492,JVL,CHS,2016-05-28 05:26:00,2016-05-28 06:24:00
WUT,SW465,JVL,AVL,2016-08-30 18:59:00,2016-08-30 18:59:00
VAV,CQ774,CHS,JVL,2016-06-04 09:50:00,2016-06-04 09:50:00
WUT,SV575,CHS,CHS,2016-09-27 12:12:00,2016-09-27 12:12:00
WUT,DP546,JVL,JVL,2016-06-21 08:58:00,2016-06-21 09:19:00
WUT,EM673,JVL,JVL,2016-06-24 13:02:00,2016-06-24 13:02:00
WUT,JN611,CHS,JVL,2016-08-17 01:06:00,2016-08-17 02:34:00
VAV,BZ579,JVL,JVL,2016-07-15 18:31:00,2016-07-15 18:31:00
WUT,JV394,JVL,AVL,2016-09-19 17:44:00,2016-09-19 17:44:00
POP,WP900,JVL,JVL,2016-05-08 09:40:00,2016-05-08 10:33:00
POP,DC886,CHS,WYS,2016-06-03 02:00:00,2016-06-03 02:00:00
POP,XG591,JVL,JVL,2016-07-31 16:23:00,2016-07-31 16:23:00
WUT,HN615,CHS,AVL,2016-06-02 07:22:00,2016-06-02 08:55:00
WUT,ZF438,JVL,CHS,2016-05-23 17:44:00,2016-05-23 17:44:00
WUT,OH260,DFW,JVL,2016-08-02 15:09:00,2016-08-02 15:09:00
VAV,VR569,CHS,GCC,2016-05-12 20:04:00,2016-05-12 20:04:00
WUT,SD374,JVL,JVL,2016-05-20 16:59:00,2016-05-20 16:59:00
WUT,VZ618,CHS,AVL,2016-06-03 12:29:00,2016-06-03 12:29:00
POP,UA097,CHS,JVL,2016-08-12 10:22:00,2016-08-12 10:22:00
DEF,CX991,CHS,FYV,2016-06-07 06:49:00,2016-06-07 08:34:00
WUT,YI392,JVL,CHS,2016-05-08 06:12:00,2016-05-08 07:35:00
WUT,CZ325,AVL,JVL,2016-09-29 15:19:00,2016-09-29 16:48:00
WUT,UI729,JVL,JVL,2016-05-30 19:09:00,2016-05-30 19:09:00
POP,XM371,JVL,JVL,2016-08-25 06:23:00,2016-08-25 06:23:00
POP,BF277,CHS,AVL,2016-06-24 21:38:00,2016-06-24 22:49:00
WUT,PM987,WRE,CHS,2016-09-06 16:08:00,2016-09-06 17:27:00
VAV,NX642,CHS,CHS,2016-07-16 14:02:00,2016-07-16 14:02:00
POP,ZD391,AVL,JVL,2016-06-16 17:03:00,2016-06-16 17:03:00
POP,YN825,CHS,JVL,2016-05-05 02:42:00,2016-05-05 02:42:00
VAV,RB569,WRE,JVL,2016-06-17 22:12:00,2016-06-17 22:12:00
WUT,DW481,WRE,JVL,2016-08-08 17:31:00,2016-08-08 17:31:00
GHU,XD628,JVL,CHS,2016-06-10 17:42:00,2016-06-10 17:42:00
WUT,CO884,JVL,JVL,2016-05-05 02:32:00,2016-05-05 02:38:00
WUT,IF906,JVL,JVL,2016-06-22 23:34:00,2016-06-22 23:34:00
POP,IT117,WRE,JVL,2016-05-14 01:52:00,2016-05-14 03:08:00
GHU,ZM623,AVL,CHS,2016-07-08 22:05:00,2016-07-08 22:05:00
POP,MF201,JVL,AVL,2016-07-02 13:03:00,2016-07-02 13:03:00
POP,HU493,CHS,AVL,2016-06-14 18:41:00,2016-06-14 18:41:00
ABC,HL241,CHS,GCC,2016-08-21 14:45:00,2016-08-21 14:45:00
WUT,WN228,CHS,AVL,2016-07-03 16:02:00,2016-07-03 18:01:00
POP,YC981,CHS,JVL,2016-05-01 23:33:00,2016-05-01 23:45:00
WUT,XV949,JVL,JVL,2016-07-15 18:36:00,2016-07-15 18:36:00
WUT,RG393,WRE,JVL,2016-06-08 02:59:00,2016-06-08 02:59:00
WUT,ND274,JVL,CHS,2016-06-22 09:14:00,2016-06-22 09:50:00
VAV,TD935,CHS,WYS,2016-07-02 03:19:00,2016-07-02 03:19:00
POP,IA623,JVL,JVL,2016-06-07 21:18:00,2016-06-07 21:37:00
POP,QH229,JVL,JVL,2016-08-29 09:34:00,2016-08-29 09:34:00
POP,AB923,JVL,CHS,2016-07-03 06:36:00,2016-07-03 06:36:00
VAV,RQ807,WYS,CHS,2016-08-27 20:50:00,2016-08-27 20:50:00
VAV,GH412,CHS,JVL,2016-07-31 15:04:00,2016-07-31 15:04:00
POP,PO637,JVL,CHS,2016-07-04 14:28:00,2016-07-04 14:28:00
DEF,GS609,JVL,AVL,2016-07-14 09:48:00,2016-07-14 09:48:00
WUT,QB123,JVL,JVL,2016-06-14 22:42:00,2016-06-14 22:42:00
WUT,KI559,CHS,CHS,2016-07-07 22:32:00,2016-07-07 22:32:00
VAV,SA513,JVL,JVL,2016-05-13 21:31:00,2016-05-13 21:31:00
WUT,ZR555,JVL,CHS,2016-05-19 18:24:00,2016-05-19 18:24:00
WUT,OW651,CHS,CHS,2016-07-18 21:52:00,2016-07-18 21:52:00
POP,TR684,JVL,AVL,2016-08-26 05:03:00,2016-08-26 05:03:00
POP,NM972,WYS,JVL,2016-06-15 11:25:00,2016-06-15 11:25:00
POP,KW442,CHS,AVL,2016-05-14 03:51:00,2016-05-14 03:51:00
WUT,UW956,JVL,JVL,2016-08-24 01:56:00,2016-08-24 03:31:00
WUT,BX457,CHS,JVL,2016-08-29 18:06:00,2016-08-29 18:06:00
POP,JV436,WYS,JVL,2016-06-06 01:43:00,2016-06-06 01:43:00
POP,HX933,JVL,WYS,2016-05-16 19:55:00,2016-05-16 19:55:00
POP,FN543,JVL,CHS,2016-06-01 20:06:00,2016-06-01 20:06:00
GHU,VC923,CHS,JVL,2016-08-15 22:38:00,2016-08-15 22:38:00
WUT,OD398,JVL,JVL,2016-07-03 19:39:00,2016-07-03 19:39:00
WUT,MJ045,JVL,CHS,2016-06-25 14:50:00,2016-06-25 14:50:00
POP,QO744,JVL,CHS,2016-09-15 01:23:00,2016-09-15 01:55:00
POP,DH143,JVL,JVL,2016-08-28 04:46:00,2016-08-28 04:46:00
WUT,SA633,JVL,CHS,2016-05-30 11:59:00,2016-05-30 13:45:00
VAV,QO404,CHS,JVL,2016-07-10 14:59:00,2016-07-10 14:59:00
WUT,UI414,CHS,JVL,2016-09-17 15:44:00,2016-09-17 15:44:00
POP,KX614,CHS,AVL,2016-06-22 17:48:00,2016-06-22 17:48:00
WUT,ZE136,CHS,JVL,2016-06-23 05:16:00,2016-06-23 05:16:00
GHU,OE257,JVL,WYS,2016-05-18 17:38:00,2016-05-18 19:30:00
WUT,XF406,CHS,CHS,2016-08-21 17:48:00,2016-08-21 17:48:00
VAV,AT826,CHS,JVL,2016-08-22 05:51:00,2016-08-22 05:51:00
WUT,SF127,WYS,CHS,2016-06-03 03:45:00,2016-06-03 04:16:00
WUT,MW123,JVL,JVL,2016-08-02 00:53:00,2016-08-02 00:53:00
WUT,DC639,JVL,JVL,2016-05-05 20:43:00,2016-05-05 22:40:00
WUT,OD890,JVL,CHS,2016-06-16 20:00:00,2016-06-16 20:00:00
WUT,OW595,JVL,JVL,2016-06-27 21:19:00,2016-06-27 22:12:00
POP,DS467,JVL,JVL,2016-07-15 17:25:00,2016-07-15 17:25:00
ABC,NF586,JVL,JVL,2016-08-10 14:02:00,2016-08-10 15:12:00
ABC,FC155,JVL,CHS,2016-08-04 04:15:00,2016-08-04 04:15:00
WUT,RZ070,JVL,JVL,2016-08-19 17:22:00,2016-08-19 17:22:00
GHU,VZ166,CHS,JVL,2016-06-27 19:52:00,2016-06-27 19:52:00
VAV,IG120,CHS,JVL,2016-07-03 14:11:00,2016-07-03 15:20:00
DEF,TL132,JVL,JVL,2016-08-27 05:30:00,2016-08-27 05:30:00
POP,SB552,JVL,JVL,2016-09-27 21:09:00,2016-09-27 21:09:00
ABC,IU064,AVL,JVL,2016-05-27 06:06:00,2016-05-27 06:36:00
GHU,YF464,JVL,CHS,2016-08-24 13:56:00,2016-08-24 15:35:00
WUT,UF317,AVL,JVL,2016-07-13 03:39:00,2016-07-13 03:39:00
GHU,DZ819,CHS,CHS,2016-05-06 15:13:00,2016-05-06 15:13:00
VAV,IL038,JVL,JVL,2016-08-29 03:57:00,2016-08-29 05:35:00
POP,OU306,JVL,CHS,2016-08-08 14:30:00,2016-08-08 14:30:00
WUT,LB206,CHS,JVL,2016-08-27 20:27:00,2016-08-27 20:27:00
VAV,LW699,AVL,JVL,2016-05-01 06:26:00,2016-05-01 06:26:00
WUT,NB340,AVL,AVL,2016-08-20 07:31:00,2016-08-20 08:18:00
POP,ZE025,JVL,AVL,2016-08-04 01:32:00,2016-08-04 01:32:00
POP,AZ763,JVL,JVL,2016-06-02 12:40:00,2016-06-02 13:46:00
ABC,FK938,FSM,JVL,2016-07-28 07:14:00,2016-07-28 07:14:00
WUT,EH539,JVL,WRE,2016-09-23 10:10:00,2016-09-23 10:10:00
WUT,UV829,JVL,JVL,2016-09-20 17:06:00,2016-09-20 17:06:00
WUT,WE348,JVL,CHS,2016-06-07 02:29:00,2016-06-07 02:29:00
DEF,UJ066,AVL,AVL,2016-06-17 12:44:00,2016-06-17 12:44:00
POP,RU745,JVL,JVL,2016-05-05 09:20:00,2016-05-05 09:20:00
WUT,KS365,WRE,JVL,2016-06-06 07:17:00,2016-06-06 07:17:00
WUT,DO591,CHS,AVL,2016-06-12 13:32:00,2016-06-12 13:32:00
VAV,SF952,CHS,CHS,2016-08-12 21:36:00,2016-08-12 23:00:00
WUT,AD985,JVL,GCC,2016-09-20 01:05:00,2016-09-20 01:05:00
VAV,UR502,JVL,AVL,2016-08-21 05:55:00,2016-08-21 05:55:00
POP,MN533,CHS,JVL,2016-08-29 06:08:00,2016-08-29 06:08:00
VAV,IG169,JVL,JVL,2016-09-08 02:34:00,2016-09-08 02:34:00
WUT,TD308,JVL,JVL,2016-09-22 00:55:00,2016-09-22 00:55:00
WUT,WV241,JVL,AVL,2016-07-16 23:03:00,2016-07-16 23:03:00
POP,YG967,AVL,AVL,2016-08-22 19:19:00,2016-08-22 19:19:00
DEF,BT706,CHS,WRE,2016-05-08 01:59:00,2016-05-08 01:59:00
WUT,UX290,AVL,JVL,2016-09-17 19:33:00,2016-09-17 21:11:00
WUT,HM271,JVL,AVL,2016-05-12 18:50:00,2016-05-12 18:50:00
WUT,MF463,JVL,CHS,2016-08-27 01:11:00,2016-08-27 01:11:00
WUT,ET499,CHS,CHS,2016-07-11 09:30:00,2016-07-11 09:30:00
WUT,IA288,JVL,JVL,2016-05-19 00:00:00,2016-05-19 00:00:00
POP,UB514,CHS,WRE,2016-05-13 01:08:00,2016-05-13 01:08:00
GHU,FR585,CHS,CHS,2016-07-07 11:36:00,2016-07-07 11:36:00
VAV,ZX537,GCC,JVL,2016-07-11 20:20:00,2016-07-11 20:47:00
POP,MA110,JVL,JVL,2016-05-02 05:10:00,2016-05-02 05:10:00
POP,KQ397,AVL,WYS,2016-05-10 20:04:00,2016-05-10 20:06:00
WUT,XB731,JVL,JVL,2016-07-22 20:46:00,2016-07-22 20:46:00
GHU,MJ726,JVL,CHS,2016-05-22 11:07:00,2016-05-22 11:07:00
DEF,FW346,FYV,JVL,2016-08-06 15:40:00,2016-08-06 15:40:00
POP,QV419,JVL,CHS,2016-08-06 23:16:00,2016-08-06 23:16:00
POP,XS873,JVL,AVL,2016-06-02 13:39:00,2016-06-02 13:39:00
WUT,UX345,JVL,JVL,2016-07-19 00:25:00,2016-07-19 00:25:00
WUT,AS622,JVL,AVL,2016-08-23 08:15:00,2016-08-23 08:15:00
POP,JR967,GCC,JVL,2016-08-17 00:47:00,2016-08-17 00:54:00
POP,IO422,CHS,JVL,2016-05-11 22:58:00,2016-05-11 23:50:00
POP,GJ209,JVL,JVL,2016-07-13 01:19:00,2016-07-13 02:55:00
GHU,NB575,CHS,JVL,2016-08-27 21:48:00,2016-08-27 21:48:00
GHU,OL077,CHS,JVL,2016-09-22 12:42:00,2016-09-22 12:42:00
POP,ET089,JVL,JVL,2016-06-30 05:02:00,2016-06-30 05:02:00
POP,ON393,JVL,AVL,2016-06-05 01:40:00,2016-06-05 01:40:00
WUT,YT297,JVL,JVL,2016-07-13 00:20:00,2016-07-13 01:25:00
VAV,AT594,JVL,WRE,2016-05-28 08:43:00,2016-05-28 10:17:00
WUT,XZ930,JVL,CHS,2016-05-03 05:07:00,2016-05-03 06:21:00
WUT,DR141,JVL,CHS,2016-08-21 12:24:00,2016-08-21 12:24:00
WUT,WQ854,AVL,JVL,2016-07-14 18:45:00,2016-07-14 18:45:00
WUT,LU003,AVL,CHS,2016-08-05 22:17:00,2016-08-05 23:50:00
VAV,GU786,CHS,DFW,2016-05-05 17:00:00,2016-05-05 17:00:00
WUT,EK281,CHS,JVL,2016-07-05 06:00:00,2016-07-05 06:00:00
VAV,TS538,JVL,AVL,2016-07-04 18:41:00,2016-07-04 20:09:00
WUT,OG116,JVL,JVL,2016-06-19 15:23:00,2016-06-19 15:23:00
VAV,DH238,JVL,CHS,2016-09-03 23:13:00,2016-09-03 23:13:00
WUT,CY724,JVL,CHS,2016-09-03 22:51:00,2016-09-03 22:51:00
WUT,YP841,AVL,CHS,2016-06-03 17:42:00,2016-06-03 17:42:00
WUT,BW454,CHS,CHS,2016-05-29 15:54:00,2016-05-29 17:07:00
GHU,FG646,WYS,CHS,2016-09-03 21:33:00,2016-09-03 21:33:00
WUT,DW264,JVL,CHS,2016-08-23 06:20:00,2016-08-23 06:20:00
POP,XC384,JVL,JVL,2016-09-18 00:11:00,2016-09-18 00:11:00
WUT,DQ848,CHS,JVL,2016-06-27 23:26:00,2016-06-27 23:30:00
GHU,LU828,JVL,CHS,2016-05-18 08:48:00,2016-05-18 08:48:00
VAV,XW478,CHS,CHS,2016-08-22 22:29:00,2016-08-22 22:29:00
DEF,AO088,JVL,JVL,2016-05-31 14:06:00,2016-05-31 14:06:00
WUT,TV830,AVL,JVL,2016-05-05 05:02:00,2016-05-05 05:02:00
WUT,EH749,JVL,JVL,2016-05-12 10:03:00,2016-05-12 10:03:00
WUT,JN667,WYS,CHS,2016-09-14 06:39:00,2016-09-14 06:39:00
WUT,TW585,AVL,JVL,2016-05-17 02:35:00,2016-05-17 02:35:00
ABC,MI671,JVL,JVL,2016-08-11 08:55:00,2016-08-11 08:55:00
ABC,BJ817,WRE,JVL,2016-09-25 20:58:00,2016-09-25 22:47:00
WUT,WX335,JVL,CHS,2016-07-17 14:13:00,2016-07-17 15:41:00
GHU,OG702,CHS,JVL,2016-05-05 16:31:00,2016-05-05 17:41:00
POP,FX220,WRE,CHS,2016-05-01 13:23:00,2016-05-01 13:23:00
VAV,KJ464,AVL,WRE,2016-07-11 20:32:00,2016-07-11 20:32:00
WUT,QM680,CHS,JVL,2016-06-04 08:19:00,2016-06-04 09:37:00
ABC,HR993,CHS,JVL,2016-07-06 12:26:00,2016-07-06 12:26:00
WUT,TC292,AVL,DFW,2016-05-26 09:04:00,2016-05-26 09:04:00
WUT,MK840,WYS,CHS,2016-05-27 16:40:00,2016-05-27 16:40:00
WUT,QN017,JVL,AVL,2016-06-10 01:13:00,2016-06-10 01:13:00
WUT,PT500,JVL,JVL,2016-09-14 13:34:00,2016-09-14 13:34:00
ABC,ZK729,CHS,CHS,2016-09-25 16:51:00,2016-09-25 16:51:00
DEF,VD527,AVL,JVL,2016-09-10 14:30:00,2016-09-10 14:30:00
GHU,GN246,CHS,AVL,2016-09-24 13:26:00,2016-09-24 13:26:00
ABC,NH409,CHS,CHS,2016-06-25 03:09:00,2016-06-25 03:09:00
WUT,UF699,JVL,AVL,2016-08-07 16:09:00,2016-08-07 16:09:00
WUT,DM737,JVL,JVL,2016-05-31 06:04:00,2016-05-31 06:04:00
WUT,OS086,JVL,WRE,2016-07-09 13:42:00,2016-07-09 14:52:00
POP,XR230,CHS,JVL,2016-05-14 23:10:00,2016-05-14 23:42:00
WUT,CN887,JVL,JVL,2016-08-10 21:35:00,2016-08-10 21:35:00
WUT,DY480,JVL,CHS,2016-09-01 08:02:00,2016-09-01 08:11:00
WUT,TQ612,CHS,JVL,2016-09-11 09:06:00,2016-09-11 09:06:00
WUT,DI110,JVL,CHS,2016-07-06 08:58:00,2016-07-06 08:58:00
WUT,IC611,JVL,JVL,2016-06-21 16:32:00,2016-06-21 16:32:00
WUT,PX734,JVL,WYS,2016-05-21 13:46:00,2016-05-21 14:51:00
VAV,MW390,CHS,JVL,2016-09-07 12:20:00,2016-09-07 12:20:00
VAV,IX971,WRE,AVL,2016-09-10 19:04:00,2016-09-10 19:04:00
VAV,YZ202,WRE,JVL,2016-05-01 08:38:00,2016-05-01 08:38:00
VAV,EX720,WRE,WRE,2016-05-19 19:12:00,2016-05-19 19:22:00
VAV,MQ042,JVL,AVL,2016-06-22 06:51:00,2016-06-22 06:51:00
WUT,KQ227,CHS,JVL,2016-06-24 23:50:00,2016-06-24 23:50:00
WUT,IP394,CHS,CHS,2016-05-17 01:48:00,2016-05-17 01:48:00
VAV,RV932,WYS,AVL,2016-05-08 17:43:00,2016-05-08 17:43:00
WUT,VU070,JVL,JVL,2016-09-01 19:54:00,2016-09-01 20:51:00
WUT,OY023,JVL,CHS,2016-08-20 12:21:00,2016-08-20 13:17:00
POP,DG101,JVL,CHS,2016-09-27 05:04:00,2016-09-27 05:04:00
POP,TE616,CHS,JVL,2016-05-10 16:52:00,2016-05-10 16:52:00
WUT,MV284,CHS,JVL,2016-08-08 00:33:00,2016-08-08 01:46:00
POP,QO778,JVL,WRE,2016-05-04 08:34:00,2016-05-04 08:34:00
