country,code
Bolivia,SRZ
Brazil,SSA
Equatorial Guinea,SSG
Egypt,SSH
Colombia,SSL
USA,STL
United Kingdom,STN
United Kingdom,STN
Sweden,STO
Germany,STR
USA,STS
Virgin Islands (U.S.),STT
India,STV
Virgin Islands (U.S.),STX
Indonesia,SUB
Italy,SUF
Pakistan,SUL
Guam,SUM
USA,SUN
Fiji,SUV
USA,SUX
Saint Vincent and the Grenadines,SVD
Saint Vincent and the Grenadines,SVD
Norway,SVG
Finland,SVL
Russia,SVO
Spain,SVQ
USA,SWF
Namibia,SWP
France,SXB
Germany,SXF
Ireland,SXL
Netherlands Antilles,SXM
India,SXR
Australia,SYD
USA,SYR
United Kingdom,SYY
Malaysia,SZB
United Kingdom,SZD
Turkey,SZF
Austria,SZG
South Africa,SZK
"Guangdong, PR China",SZX
Poland,SZZ
Trinidad and Tobago,TAB
Trinidad and Tobago,TAB
Japan,TAK
Mexico,TAM
"Shandong, PR China",TAO
Uzbekistan,TAS
Taiwan,TAY
Georgia,TBS
Tonga,TBU
Australia,TCA
Bahamas,TCB
Spain,TCI
USA,TCL
South Africa,TCU
Denmark,TED
Australia,TEM
Turkey,TEQ
Portugal,TER
New Zealand,TEU
USA,TEX
Spain,TFN
Teneriffa/Spain,TFN
Spain,TFS
Teneriffa/Spain,TFS
Montenegro,TGD
Honduras,TGU
Bulgaria,TGV
Mexico,TGZ
Brazil,THE
Germany,THF
Iran,THR
Albania,TIA
Saudi Arabia,TIF
Mexico,TIJ
Libya,TIP
Australia,TIS
Montenegro,TIV
USA,TKA
Japan,TKS
Finland,TKU
USA,TLH
Estonia,TLL
France,TLS
Israel,TLV
Finland,TMP
Sao Tome & Principe,TMS
Australia,TMW
Uzbekistan,TMZ
"Shandong, PR China",TNA
Morocco,TNG
Madagascar,TNR
Indonesia,TOD
USA,TOL
Norway,TOS
New Caledonia,TOU
British Virgin Islands,TOV
Japan,TOY
USA,TPA
Taiwan,TPE
Australia,TPR
Italy,TPS
Norway,TRD
Norway,TRF
USA,TRI
Italy,TRN
Australia,TRO
Italy,TRS
India,TRV
India,TRZ
Namibia,TSB
Kazakhstan,TSE
Italy,TSF
China,TSN
Australia,TSV
USA,TTN
Pakistan,TUK
USA,TUL
Tunisia,TUN
USA,TUP
USA,TUS
Saudi Arabia,TUU
USA,TVC
USA,TVF
USA,TVL
Australia,TWB
USA,TWF
Malaysia,TWU
USA,TXK
Germany,TXL
"Shanxi, PR China",TYN
Japan,TYO
USA,TYR
USA,TYS
Turkey,TZX
French Polynesia,UAH
Greenland,UAK
French Polynesia,UAP
Brazil,UBA
Japan,UBJ
Thailand,UBP
USA,UCA
Russia,UCT
Netherlands,UDE
Brazil,UDI
Ukraine,UDJ
India,UDR
Australia,UEE
Pakistan,UET
Russia,UFA
Uzbekistan,UGC
Angola,UGO
Czech Republic,UHE
Honduras,UII
USA,UIN
Ecuador,UIO
France,UIP
Marshall Islands,UIT
Japan,UKB
USA,UKI
Japan,UKY
Vanuatu,ULB
South Africa,ULD
Mongolia,ULN
Uganda,ULU
Greenland,UMD
Sweden,UME
Australia,UMR
Saint Vincent and the Grenadines,UNI
USA,UNK
United Kingdom,UNT
Indonesia,UPG
Costa Rica,UPL
Mexico,UPN
USA,UPP
Brazil,URB
"Xinjiang, PR China",URC
Brazil,URG
Venezuela,URM
Afghanistan,URZ
Argentina,USH
South Korea,USN
Thailand,UTH
South Africa,UTN
Thailand,UTP
South Africa,UTT
Russia,UUD
Gabon/Loyautte,UVE
Saint Lucia,UVF
Egypt,UVL
Egypt,UVL
Finland,VAA
Turkey,VAN
Chile,VAP
Bulgaria,VAR
Turkey,VAS
Italy,VBS
Italy,VBS
Sweden,VBY
Italy,VCE
Brazil,VCP
Israel,VDA
Spain,VDE
USA,VDZ
USA,VEL
Mexico,VER
Zimbabwe,VFA
Spain,VGO
Bulgaria,VID
Austria,VIE
Virgin Islands (British),VIJ
USA,VIS
Spain,VIT
Brazil,VIX
Russia,VKO
Spain,VLC
USA,VLD
Vanuatu,VLI
Spain,VLL
Venezuela,VLN
Russia,VLU
Lithuania,VNO
Lithuania,VNO
India,VNS
USA,VPS
Cuba,VRA
USA,VRB
Finland,VRK
Italy,VRN
Mexico,VSA
Sweden,VST
Lao PDR,VTE
Sweden,VXO
South Africa,VYD
USA,WAS
Poland,WAW
Namibia,WDH
Australia,WEI
South Africa,WEL
Australia,WGA
New Zealand,WHK
Australia,WHM
United Kingdom,WIC
Germany,WIE
USA,WLB
New Zealand,WLG
Wallis and Futuna Islands,WLS
Australia,WMB
Pakistan,WNS
Australia,WOL
New Zealand,WRE
USA,WRG
USA,WRL
"Hubei, PR China",WUH
Australia,WUN
South Africa,WVB
Australia,WYA
Australia,WYN
USA,WYS
"Shaanxi, PR China",XIY
Canada,XLB
French Polynesia,XMH
"Fujian, PR China",XMN
Canada,XPK
Spain,XRY
Canada,XSI
Singapore,XSP
USA,YAK
Cameroon,YAO
Canada,YAT
Canada,YBE
Canada,YCB
Canada,YDF
Canada,YEA
Canada,YEG
Canada,YEV
Canada,YFA
Canada,YFB
Canada,YFC
Canada,YFO
Canada,YGL
Canada,YGW
Canada,YGX
Canada,YHM
Canada,YHR
Canada,YHZ
Canada,YIF
"Hubei, PR China",YIH
Canada,YKA
USA,YKM
Russia,YKS
Canada,YLR
Canada,YLW
Canada,YMM
Canada,YMQ
Canada,YMX
Saudi Arabia,YNB
Japan,YOK
Canada,YOP
Canada,YOW
Canada,YPN
Canada,YPR
Canada,YQB
Canada,YQD
Canada,YQG
Canada,YQM
Canada,YQR
Canada,YQT
Canada,YQX
Canada,YRB
Canada,YSJ
Canada,YSM
Canada,YSR
Canada,YTH
Canada,YTO
Canada,YTZ
Canada,YUD
Canada,YUL
USA,YUM
Canada,YUX
Comoros (Comores),YVA
Canada,YVB
Canada,YVO
Canada,YVP
Canada,YVQ
Canada,YVR
Canada,YWG
Canada,YWK
Canada,YXD
Canada,YXE
Canada,YXJ
Canada,YXN
Canada,YXS
Canada,YXT
Canada,YXU
Canada,YXY
Canada,YYC
Canada,YYD
Canada,YYJ
Canada,YYQ
Canada,YYR
Canada,YYT
Canada,YYZ
Canada,YZF
Canada,YZP
Croatia (Hrvatska),ZAD
Croatia (Hrvatska),ZAG
Spain,ZAZ
Australia,ZBO
Mexico,ZCL
Switzerland,ZDJ
Mexico,ZIH
Hong Kong,ZJK
Canada,ZKE
Mexico,ZLO
Niger,ZND
Australia,ZNE
New Zealand,ZQN
Switzerland,ZRH
Bahamas,ZSA
Cote d'Ivoire,ZSS
Greece,ZTH
Canada,ZTM
Bangladesh,ZYL
